Unnamed: 0,1号泵口表显压力,2号泵口表显压力,3号泵口表显压力,4号泵口表显压力,5号泵口表显压力,6号泵口表显压力,7号泵口表显压力,8号泵口表显压力,1号单泵频率,2号单泵频率,3号单泵频率,4号单泵频率,5号单泵频率,6号单泵频率,7号单泵频率,8号单泵频率,泵房瞬时流量,千吨水电耗
0,0.035,0.034,0.13,0.135,0.033,0.032,0.134,0.036,0.0,0.0,28.5,28.4,0.0,0.0,28.4,0.0,15985.0,39.1
1,0.034,0.033,0.13,0.135,0.032,0.031,0.133,0.035,0.0,0.0,29.0,28.9,0.0,0.0,27.9,0.0,16060.0,39.1
2,0.169,0.029,0.164,0.172,0.027,0.027,0.167,0.03,30.1,0.0,31.5,30.9,0.0,0.0,30.3,0.0,20831.0,51.1
3,0.169,0.026,0.164,0.172,0.024,0.024,0.168,0.028,30.1,0.0,31.5,31.4,0.0,0.0,30.8,0.0,20832.0,52.2
4,0.171,0.024,0.166,0.174,0.022,0.022,0.17,0.026,30.6,0.0,32.0,31.9,0.0,0.0,30.8,0.0,21120.0,53.8
5,0.196,0.028,0.027,0.198,0.026,0.026,0.195,0.197,33.6,0.0,0.0,33.9,0.0,0.0,32.8,32.5,24144.0,59.1
6,0.193,0.029,0.028,0.195,0.027,0.027,0.193,0.194,32.6,0.0,0.0,33.4,0.0,0.0,32.8,32.5,23924.0,57.8
7,0.192,0.028,0.027,0.196,0.026,0.026,0.193,0.194,32.6,0.0,0.0,33.9,0.0,0.0,32.8,32.5,23910.0,58.4
8,0.205,0.028,0.027,0.21,0.196,0.026,0.206,0.207,32.6,0.0,0.0,32.9,32.4,0.0,32.9,32.5,25825.0,63.1
9,0.209,0.027,0.026,0.215,0.205,0.025,0.211,0.213,32.6,0.0,0.0,32.9,32.4,0.0,33.8,33.5,25858.0,65.1
10,0.03,0.03,0.029,0.133,0.132,0.029,0.033,0.135,0.0,0.0,0.0,28.9,27.5,0.0,0.0,28.5,16395.0,39.3
11,0.03,0.03,0.029,0.135,0.13,0.027,0.033,0.136,0.0,0.0,0.0,28.9,28.5,0.0,0.0,29.5,17037.0,41.0
12,0.03,0.029,0.029,0.136,0.131,0.028,0.032,0.136,0.0,0.0,0.0,28.9,28.0,0.0,0.0,29.5,16905.0,39.2
13,0.03,0.03,0.029,0.135,0.13,0.028,0.032,0.136,0.0,0.0,0.0,29.4,28.0,0.0,0.0,29.5,17063.0,40.4
14,0.162,0.029,0.028,0.162,0.155,0.027,0.031,0.163,29.6,0.0,0.0,29.9,29.4,0.0,0.0,29.5,20961.0,47.9
15,0.194,0.032,0.031,0.034,0.187,0.03,0.194,0.196,32.6,0.0,0.0,0.0,32.4,0.0,32.8,32.5,24703.0,57.3
16,0.2,0.033,0.032,0.034,0.194,0.031,0.2,0.201,33.6,0.0,0.0,0.0,32.4,0.0,33.8,32.5,25096.0,58.9
17,0.218,0.033,0.032,0.034,0.213,0.031,0.218,0.22,34.6,0.0,0.0,0.0,34.4,0.0,35.8,35.5,26729.0,65.3
18,0.218,0.032,0.031,0.033,0.214,0.03,0.219,0.221,35.1,0.0,0.0,0.0,34.4,0.0,35.8,35.5,26739.0,66.0
19,0.193,0.032,0.031,0.034,0.189,0.03,0.193,0.195,32.6,0.0,0.0,0.0,32.4,0.0,31.9,32.5,24162.0,57.1
20,0.132,0.031,0.03,0.032,0.127,0.127,0.033,0.032,28.1,0.0,0.0,0.0,28.0,28.4,0.0,0.0,16205.0,39.5
21,0.156,0.032,0.03,0.033,0.04,0.152,0.034,0.157,31.6,0.0,0.0,0.0,0.0,31.9,0.0,31.5,19712.0,47.4
22,0.187,0.028,0.182,0.034,0.027,0.027,0.188,0.189,32.6,0.0,33.0,0.0,0.0,0.0,32.9,32.0,24153.0,57.8
23,0.216,0.028,0.21,0.034,0.026,0.026,0.215,0.217,35.6,0.0,37.0,0.0,0.0,0.0,35.8,35.5,26944.0,67.5
24,0.221,0.031,0.215,0.033,0.029,0.029,0.221,0.222,35.6,0.0,37.0,0.0,0.0,0.0,35.8,36.5,27015.0,68.5
25,0.033,0.033,0.127,0.036,0.126,0.031,0.131,0.035,0.0,0.0,29.0,0.0,26.5,0.0,27.9,0.0,16067.0,38.0
26,0.157,0.033,0.154,0.036,0.033,0.031,0.158,0.035,31.7,0.0,32.0,0.0,0.0,0.0,31.8,0.0,20024.0,48.3
27,0.19,0.029,0.186,0.031,0.027,0.027,0.19,0.192,32.7,0.0,33.0,0.0,0.0,0.0,32.9,32.5,23704.0,57.8
28,0.215,0.029,0.21,0.031,0.028,0.027,0.214,0.216,35.7,0.0,37.0,0.0,0.0,0.0,35.8,35.5,27047.0,67.1
29,0.21,0.029,0.205,0.031,0.028,0.027,0.212,0.212,34.7,0.0,36.0,0.0,0.0,0.0,35.8,34.5,26140.0,65.3
30,0.228,0.025,0.222,0.032,0.024,0.024,0.228,0.23,36.6,0.0,38.0,0.0,0.0,0.0,37.8,37.5,27986.0,73.0
31,0.028,0.029,0.122,0.132,0.028,0.028,0.031,0.126,0.0,0.0,29.0,28.9,0.0,0.0,0.0,27.6,16249.0,37.4
32,0.027,0.028,0.122,0.13,0.027,0.026,0.03,0.125,0.0,0.0,28.5,28.9,0.0,0.0,0.0,27.6,16008.0,38.4
33,0.025,0.025,0.126,0.133,0.024,0.024,0.028,0.129,0.0,0.0,29.0,28.9,0.0,0.0,0.0,29.5,16502.0,40.7
34,0.2,0.009,0.008,0.219,0.008,0.008,0.2,0.202,35.7,0.0,0.0,35.9,0.0,0.0,35.9,35.5,25927.0,67.7
