,1号单泵频率,1号单泵瞬时流量,1号单泵扬程,1号泵口表显压力,1号单泵功率
0,0.0,44.0,0.0,0.0349,0
1,0.0,23.0,0.0,0.035,0
2,0.0,43.0,0.0,0.035,0
3,0.0,23.0,0.0,0.035,0
4,0.0,21.0,0.0,0.035,0
5,0.0,50.0,0.0,0.0349,0
6,0.0,20.0,0.0,0.0349,0
7,0.0,53.0,0.0,0.0349,0
8,0.0,43.0,0.0,0.035,0
9,0.0,21.0,0.0,0.0349,0
10,0.0,21.0,0.0,0.0348,0
11,0.0,39.0,0.0,0.0348,0
12,0.0,48.0,0.0,0.0348,0
13,0.0,24.0,0.0,0.0347,0
14,0.0,47.0,0.0,0.0347,0
15,0.0,23.0,0.0,0.0347,0
16,0.0,21.0,0.0,0.0348,0
17,0.0,44.0,0.0,0.0348,0
18,0.0,49.0,0.0,0.0348,0
19,0.0,45.0,0.0,0.0347,0
20,0.0,23.0,0.0,0.0346,0
21,0.0,21.0,0.0,0.0346,0
22,0.0,22.0,0.0,0.0346,0
23,0.0,23.0,0.0,0.0346,0
24,0.0,49.0,0.0,0.0346,0
25,0.0,45.0,0.0,0.0346,0
26,0.0,23.0,0.0,0.0345,0
27,0.0,21.0,0.0,0.0344,0
28,0.0,21.0,0.0,0.0344,0
29,0.0,49.0,0.0,0.0344,0
30,0.0,27.0,0.0,0.0344,0
31,0.0,48.0,0.0,0.0344,0
32,0.0,26.0,0.0,0.0343,0
33,0.0,20.0,0.0,0.0342,0
34,0.0,27.0,0.0,0.0341,0
35,0.0,50.0,0.0,0.0341,0
36,0.0,45.0,0.0,0.0341,0
37,0.0,19.0,0.0,0.0341,0
38,0.0,46.0,0.0,0.034,0
39,0.0,21.0,0.0,0.034,0
40,0.0,49.0,0.0,0.0339,0
41,0.0,28.0,0.0,0.0338,0
42,0.0,50.0,0.0,0.0338,0
43,0.0,26.0,0.0,0.0338,0
44,0.0,22.0,0.0,0.0338,0
45,0.0,21.0,0.0,0.0337,0
46,0.0,49.0,0.0,0.0336,0
47,0.0,19.0,0.0,0.0336,0
48,0.0,49.0,0.0,0.0335,0
49,0.0,21.0,0.0,0.0335,0
50,0.0,22.0,0.0,0.0335,0
51,0.0,21.0,0.0,0.0333,0
52,0.0,50.0,0.0,0.0334,0
53,0.0,46.0,0.0,0.0333,0
54,0.0,51.0,0.0,0.0332,0
55,0.0,21.0,0.0,0.0332,0
56,0.0,21.0,0.0,0.0332,0
57,0.0,47.0,0.0,0.0331,0
58,0.0,21.0,0.0,0.0331,0
59,0.0,49.0,0.0,0.033,0
60,0.0,21.0,0.0,0.033,0
61,0.0,49.0,0.0,0.033,0
62,0.0,45.0,0.0,0.0328,0
63,0.0,49.0,0.0,0.0329,0
64,0.0,21.0,0.0,0.0328,0
65,0.0,22.0,0.0,0.0328,0
66,0.0,46.0,0.0,0.0327,0
67,0.0,21.0,0.0,0.0327,0
68,0.0,48.0,0.0,0.0325,0
69,0.0,40.0,0.0,0.0324,0
70,0.0,45.0,0.0,0.0324,0
71,0.0,23.0,0.0,0.0323,0
72,0.0,44.0,0.0,0.0324,0
73,29.6,5694.0,14.28,0.1673,282
74,29.6,5780.0,14.16,0.166,282
75,30.1,5885.0,14.58,0.1689,296
76,30.1,5891.0,14.6,0.169,295
77,30.1,5787.0,14.73,0.1695,294
78,30.1,5822.0,14.76,0.1697,295
79,30.1,5773.0,14.74,0.1691,295
80,30.1,5785.0,14.68,0.1697,294
81,30.1,5846.0,14.76,0.169,294
82,30.1,5797.0,14.88,0.1683,295
83,30.1,5732.0,14.9,0.1703,293
84,30.1,5727.0,14.87,0.1696,293
85,30.1,5651.0,14.86,0.1691,293
86,30.1,5641.0,14.89,0.1691,293
87,30.1,5737.0,14.89,0.1686,293
88,30.1,5652.0,14.87,0.1687,291
89,30.1,5703.0,14.93,0.1687,292
90,30.1,5681.0,14.96,0.1685,293
